family,module,quantity,mfr_part,proposed_by_claude,lcsc,type,package,stock,in_stock,price,description
S2B-PH,BATT,1,S2B-PH-K-S(LF)(SN),True,C173752,Extended,"Push-Pull,P=2mm",88126,True,0.0267,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 4.8mm 5.9mm 7.6mm Brass K Pin PA66 PH Right Angle Tin UL94V-0 White Push-Pull,P=2mm Wire To Board Connector ROHS"
S2B-PH,BATT,1,S2B-PH-K(LF)(SN),False,C265016,Extended,"Push-Pull,P=2mm",24372,True,0.0506,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 4.8mm 5.9mm 7.6mm Brass K Pin PA66 PH Right Angle Tin UL94V-0 White Push-Pull,P=2mm Wire To Board Connector ROHS"
S2B-PH,BATT,1,S2B-PH-KL(LF)(SN),False,C160237,Extended,"Push-Pull,P=2mm",13258,True,0.0474,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 4.8mm 5.9mm 7.6mm Copper Alloy Gray K Pin PA66 PH Right Angle Tin UL94V-0 Push-Pull,P=2mm Wire To Board Connector ROHS"
S2B-PH,BATT,1,S2B-PH-SM4-TB(LF)(SN),False,C295747,Extended,"SMD,P=2mm,Surface MountRight Angle",11478,True,0.1279,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 5.5mm 7.9mm 8.6mm Auxiliary Solder Pin Beige Copper Alloy PA PH Surface Mount, Right Angle Tin UL94V-0 SMD,P=2mm,Surface MountRight Angle Wire To Board Connector ROHS"
S2B-PH,BATT,1,XY-S2B-PH-K,False,C51940126,Extended,"Plugin,P=2mm",1645,True,0.0049,"-25C~+85C 1 1x2P 2 250V 2A 2P 2mm Brass PA66 Through Hole Tin UL94V-0 Plugin,P=2mm Wire To Board Connector ROHS"
S2B-PH,BATT,1,S2B-PH-K-S-GW,False,C157932,Extended,"Push-Pull,P=2mm",942,True,0.487,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 4.8mm 5.9mm 7.6mm Brass K Pin PA66 PH Right Angle Tin UL94V-0 White Push-Pull,P=2mm Wire To Board Connector ROHS"
S2B-PH,BATT,1,XY-S2B-PH-SM4,False,C51940124,Extended,"SMD,P=2mm,Surface MountRight Angle",640,True,0.0227,"-25C~+85C 1 100V 1x2P 2 2A 2P 2mm Brass LCP Surface Mount, Right Angle Tin UL94V-0 SMD,P=2mm,Surface MountRight Angle Wire To Board Connector ROHS"
S2B-PH,BATT,1,S2B-PH-SM4-TB,False,C9900150953,Extended,"SMD,P=2mm,2P",0,False,0.0191,"SMD,P=2mm,2P New Arrivals ROHS"
S2B-PH,BATT,1,S2B-PH-K-R(LF)(SN),False,C594993,Extended,Plugin,0,False,0.0407,-25C~+85C 1 100V 1x2P 2 2A 2P 2mm 4.8mm 5.9mm 7.6mm Brass K Pin PA66 PH Red Right Angle Tin UL94V-0 Plugin Wire To Board Connector ROHS
6x6 tactile,SW,1,KH-6X6X5H-STM,True,C2837531,Extended,"SMD-4P,6x6mm",234051,True,0.0129,"12V 50mA 5mm 6mm 6mm 80,000 Cycles Black Gull Wing Round Button SPST Surface Mount,Vertical Without Bracket SMD-4P,6x6mm Tactile Switches ROHS"
